TABLENAME,DM_USERID,DM_SERVICEID,DM_TRANSACTIONID,DM_SERVERTIMESTAMP,DM_APPTIMESTAMP,DM_ACTIVITYTYPE,DM_CLASSKEY,PREIMAGE,POSTIMAGE
DCP_DPOT_CSH_PYUT,1,30834,192.208.139.10::51f5081b:1690547b629:-5b8a,2019-02-19:11:06:15:000208,2019-02-19:12:06:12:000635,MODIFY         ,:GSGPM:1900670002:BP0000117:1:1:751717,"GSGPM|1900670002|BP0000117|1|1|751717|1|CR|635|PERCPARV|622|||100||1000||||||RDTODEC|623|2||||CSH|621|TOBEPAID|636|||STP|21|21|1||656|OFFR|662|BNP PARIBAS ISS. 9,0500 0219|REDM - SGSS - NL - INCPYMNT|CLEARSTREAM LUXEMBOURG|||1111111111111111111111111111111111111|0||AUTH|675||REDM|601|||1||CANOTAXR|3012||3013||100|||3025|||PRCT|663||664||2206||||671|||||2259||||||||||ISIN|XS1816870379||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||2","GSGPM|1900670002|BP0000117|1|1|751717|1|CR|635|PERCPARV|622|||100||1000||||||RDTODEC|623|2||||CSH|621|CANC|636|||STP|21|21|1||656|OFFR|662|BNP PARIBAS ISS. 9,0500 0219|REDM - SGSS - NL - INCPYMNT|CLEARSTREAM LUXEMBOURG|||1111111111111111111111111111111111111|0||AUTH|675||REDM|601|||1||CANOTAXR|3012||3013||100|||3025|||PRCT|663||664||2206||||671|||||2259||||||||||ISIN|XS1816870379||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||3"
DCP_DPOT_CSH_PYUT,1,30834,192.208.139.10::51f5081b:1690547b629:-5b8a,2019-02-19:11:06:13:000967,2019-02-19:12:06:12:000635,MODIFY         ,:G:1900670002:BP0000222:1:1:751717,"G|1900670002|BP0000222|1|1|751717|1|CR|635|PERCPARV|622|||100||1000|||||||623|||||CSH|621|TOBEPAID|636|||STP|1|1|1||656|OFFR|662|BNP PARIBAS ISS. 9,0500 0219|REDM - SGSS - NL - INCPYMNT|SUPER BP|||1111111111111111111111111111111111111|0||AUTH|675||REDM|601|||1||CANOTAX|3012||3013||100|||3025|||PRCT|663||664||2206||||671|||||2259||||||||||ISIN|XS1816870379||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||2","G|1900670002|BP0000222|1|1|751717|1|CR|635|PERCPARV|622|||100||1000|||||||623|||||CSH|621|CANC|636|||STP|1|1|1||656|OFFR|662|BNP PARIBAS ISS. 9,0500 0219|REDM - SGSS - NL - INCPYMNT|SUPER BP|||1111111111111111111111111111111111111|0||AUTH|675||REDM|601|||1||CANOTAX|3012||3013||100|||3025|||PRCT|663||664||2206||||671|||||2259||||||||||ISIN|XS1816870379||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||3"
DCP_DPOT_CSH_PYUT,1,30834,192.208.139.10::480e0cfb:168e0a46d24:55f,2019-02-12:09:36:16:000782,2019-02-12:10:36:14:000598,MODIFY         ,:G:1900670015:BP0000222:1:1:705800,"G|1900670015|BP0000222|1|1|705800|1|CR|635|AMNTSHAR|622|70.2647|EUR||||||||||623|||||CSH|621|TOBEPAID|636|||STP|1|1|1||656|OFFR|662|EXANE FINANCE 6,5000 0219|REDM - SGSS - FR - INCPYMNT|SUPER BP|||1111111111111111111111111111111111111|0|||675||REDM|601|||1||CANOTAX|3012||3013||100|||3025||||663|ACTU|664||2206||||671|||||2259|||||||||||||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||1","G|1900670015|BP0000222|1|1|705800|1|CR|635|AMNTSHAR|622|70.2647|EUR||||||||||623|||||CSH|621|CANC|636|||STP|1|1|1||656|OFFR|662|EXANE FINANCE 6,5000 0219|REDM - SGSS - FR - INCPYMNT|SUPER BP|||1111111111111111111111111111111111111|0|||675||REDM|601|||1||CANOTAX|3012||3013||100|||3025||||663|ACTU|664||2206||||671|||||2259|||||||||||||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||2"
DCP_DPOT_CSH_PYUT,1,30834,192.208.139.10::480e0cfb:168e0a46d24:55f,2019-02-12:09:36:17:000893,2019-02-12:10:36:14:000598,MODIFY         ,:GSGPM:1900670015:BP0000121:1:1:705800,"GSGPM|1900670015|BP0000121|1|1|705800|1|CR|635|AMNTSHAR|622|70.2647|EUR|||||||||RDTODEC|623|2||||CSH|621|TOBEPAID|636|||105|21|21|1||656|OFFR|662|EXANE FINANCE 6,5000 0219|REDM - SGSS - FR - INCPYMNT|EUROCLEAR FRANCE|||0111111111111111111111011111111111111|0|||675||REDM|601|||1||SUPDIVD|3012||3013||100|||3025||||663|ACTU|664||2206||||671|||||2259|||||||||||||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||13","GSGPM|1900670015|BP0000121|1|1|705800|1|CR|635|AMNTSHAR|622|70.2647|EUR|||||||||RDTODEC|623|2||||CSH|621|CANC|636|||105|21|21|1||656|OFFR|662|EXANE FINANCE 6,5000 0219|REDM - SGSS - FR - INCPYMNT|EUROCLEAR FRANCE|||0111111111111111111111011111111111111|0|||675||REDM|601|||1||SUPDIVD|3012||3013||100|||3025||||663|ACTU|664||2206||||671|||||2259|||||||||||||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||14"
DCP_DPOT_CSH_PYUT,1,30834,192.208.139.9::76897e05:16da5065017:-62bf,2019-10-07:07:29:17:000968,2019-10-07:09:28:11:000146,MODIFY         ,:GSGPM:1900813877:BP0000121:1:1:873973,GSGPM|1900813877|BP0000121|1|1|873973|1|CR|635|PERCPARV|622|||100||1||||||RDTODEC|623|2||||CSH|621|TOBEPAID|636|||STP|21|21|1||656|OFFR|662|PRFIN. NCP PRE-CPTE   07102019|REDM - SGSS - FR - INCPYMNT|EUROCLEAR FRANCE|||11111111111111111111111111111111111111111|0||AUTH|675||REDM|601|||1||CANOTAXR|3012||3013||100|||3025|||PRCT|663||664||2206||||671|||||2259||||||||||ISIN|FR0125823981||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||5,GSGPM|1900813877|BP0000121|1|1|873973|1|CR|635|PERCPARV|622|||100||1||||||RDTODEC|623|2||||CSH|621|PAID|636|||STP|21|21|1||656|OFFR|662|PRFIN. NCP PRE-CPTE   07102019|REDM - SGSS - FR - INCPYMNT|EUROCLEAR FRANCE|||11111111111111111111111111111111111111111|0||AUTH|675||REDM|601|||1||CANOTAXR|3012||3013||100|||3025|||PRCT|663||664||2206||||671|||||2259||||||||||ISIN|FR0125823981||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||6
DCP_DPOT_CSH_PYUT,1,30834,192.208.139.9::638ae76d:16da4fe60a6:-627,2019-10-07:07:46:19:000680,2019-10-07:09:46:18:000703,MODIFY         ,:GSGPM:1900812710:BP0000121:1:1:872316,GSGPM|1900812710|BP0000121|1|1|872316|1|CR|635|PERCPARV|622|||100||1||||||RDTODEC|623|2||||CSH|621|TOBEPAID|636|||STP|21|21|1||656|OFFR|662|GECINA NCP PRE-CPTE   07102019|REDM - SGSS - FR - INCPYMNT|EUROCLEAR FRANCE|||11111111111111111111111111111111111111111|0||AUTH|675||REDM|601|||1||CANOTAXR|3012||3013||100|||3025|||PRCT|663||664||2206||||671|||||2259||||||||||ISIN|FR0125507485||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||5,GSGPM|1900812710|BP0000121|1|1|872316|1|CR|635|PERCPARV|622|||100||1||||||RDTODEC|623|2||||CSH|621|PAID|636|||STP|21|21|1||656|OFFR|662|GECINA NCP PRE-CPTE   07102019|REDM - SGSS - FR - INCPYMNT|EUROCLEAR FRANCE|||11111111111111111111111111111111111111111|0||AUTH|675||REDM|601|||1||CANOTAXR|3012||3013||100|||3025|||PRCT|663||664||2206||||671|||||2259||||||||||ISIN|FR0125507485||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||6
DCP_DPOT_CSH_PYUT,1,30834,192.208.193.5::55049d94:17d7b581ac9:-cf5,2021-12-02:13:36:58:000566,2021-12-02:02:35:15:000466,MODIFY         ,:G:2101280384:BP0000222:1:1:78311,G|2101280384|BP0000222|1|1|78311|1|CR|635||622||||||||||||623|||||CSH|621|TOBEPAID|636|||STP|1|1||GRSS|656||662|UNILEVER P.L.C.|DVCA - SGSS - GB - INCPYMNT|SUPER BP|||11111111111111111111111111111111111111111111111111111111111|0|||675||DVCA|601|||1||DIVIDEND|3012||3013||100||UKWN|3025||||663||664||2206||||671|||||2259||||||||||ISIN|GB00B10RZP78||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||||||||||||||||||||||||1,G|2101280384|BP0000222|1|1|78311|1|CR|635||622||||||||||||623|||||CSH|621|CANC|636|||STP|1|1||GRSS|656||662|UNILEVER P.L.C.|DVCA - SGSS - GB - INCPYMNT|SUPER BP|||11111111111111111111111111111111111111111111111111111111111|0|||675||DVCA|601|||1||DIVIDEND|3012||3013||100||UKWN|3025||||663||664||2206||||671|||||2259||||||||||ISIN|GB00B10RZP78||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||||||||||||||||||||||||2
DCP_DPOT_CSH_PYUT,1,30834,192.208.193.5::55049d94:17d7b581ac9:-cf5,2021-12-02:13:37:00:000735,2021-12-02:02:35:15:000466,MODIFY         ,:GSGDE:2101280384:BP0031062:1:1:78311,GSGDE|2101280384|BP0031062|1|1|78311|1|CR|635||622|||||||||||RDTODEC|623|2||||CSH|621|TOBEPAID|636|||STP|23|23||GRSS|656||662|UNILEVER P.L.C.|DVCA - SGSS - GB - INCPYMNT|GSSEOC|||11111111111111111111111111111111111111111111111111111111111|0||AUTH|675||DVCA|601|||1||DIVIDEND|3012||3013||100||UKWN|3025||||663||664||2206||||671|||||2259||||||||||ISIN|GB00B10RZP78||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||||||||||||||||||||||||2,GSGDE|2101280384|BP0031062|1|1|78311|1|CR|635||622|||||||||||RDTODEC|623|2||||CSH|621|CANC|636|||STP|23|23||GRSS|656||662|UNILEVER P.L.C.|DVCA - SGSS - GB - INCPYMNT|GSSEOC|||11111111111111111111111111111111111111111111111111111111111|0||AUTH|675||DVCA|601|||1||DIVIDEND|3012||3013||100||UKWN|3025||||663||664||2206||||671|||||2259||||||||||ISIN|GB00B10RZP78||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||||||||||||||||||||||||3
DCP_DPOT_CSH_PYUT,1,30834,192.208.193.5::55049d94:17d7b581ac9:-cf5,2021-12-02:13:37:00:000453,2021-12-02:02:35:15:000466,MODIFY         ,:GSGLU:2101280384:BP0031062:1:1:78311,GSGLU|2101280384|BP0031062|1|1|78311|1|CR|635||622|||||||||||RDTODEC|623|2||||CSH|621|TOBEPAID|636|||STP|41|41||GRSS|656||662|UNILEVER P.L.C.|DVCA - SGSS - GB - INCPYMNT|GSSEOC|||11111111111111111111111111111111111111111111111111111111111|0|||675||DVCA|601|||1||DIVIDEND|3012||3013||100||UKWN|3025||||663||664||2206||||671|||||2259||||||||||ISIN|GB00B10RZP78||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||||||||||||||||||||||||1,GSGLU|2101280384|BP0031062|1|1|78311|1|CR|635||622|||||||||||RDTODEC|623|2||||CSH|621|CANC|636|||STP|41|41||GRSS|656||662|UNILEVER P.L.C.|DVCA - SGSS - GB - INCPYMNT|GSSEOC|||11111111111111111111111111111111111111111111111111111111111|0|||675||DVCA|601|||1||DIVIDEND|3012||3013||100||UKWN|3025||||663||664||2206||||671|||||2259||||||||||ISIN|GB00B10RZP78||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||||||||||||||||||||||||2
DCP_DPOT_CSH_PYUT,1,30834,192.208.193.5::55049d94:17d7b581ac9:-cf5,2021-12-02:13:36:59:000605,2021-12-02:02:35:15:000466,MODIFY         ,:GSGPM:2101280384:BP0000188:1:1:78311,GSGPM|2101280384|BP0000188|1|1|78311|1|CR|635||622|||||||||||RDTODEC|623|2||||CSH|621|TOBEPAID|636|||STP|21|21||GRSS|656||662|UNILEVER P.L.C.|DVCA - SGSS - GB - INCPYMNT|EUROCLEAR BANK SA|||11111111111111111111111111111111111111111111111111111111111|0|||675||DVCA|601|||1||DIVIDEND|3012||3013||100||UKWN|3025||||663||664||2206||||671|||||2259||||||||||ISIN|GB00B10RZP78||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||||||||||||||||||||||||1,GSGPM|2101280384|BP0000188|1|1|78311|1|CR|635||622|||||||||||RDTODEC|623|2||||CSH|621|CANC|636|||STP|21|21||GRSS|656||662|UNILEVER P.L.C.|DVCA - SGSS - GB - INCPYMNT|EUROCLEAR BANK SA|||11111111111111111111111111111111111111111111111111111111111|0|||675||DVCA|601|||1||DIVIDEND|3012||3013||100||UKWN|3025||||663||664||2206||||671|||||2259||||||||||ISIN|GB00B10RZP78||516||998|||||||||||||658|||||2231||||||||3081|||||||||||||100||||||||||||||||||||||||||||||||||||2
